subj,trial,tp,self,other,fair,resp,rt,ffix,fdur,gazeself,gazeother,gazelateself,gazelateother,given
2,139,10,64,44,20,1,2.71436260428436,0,0,86,0,1420,381,-6
2,140,10,80,29,51,0,4.31282638355606,0,0,104,0,742,1733,21
2,141,1.5,95,21,74,1,0.81013294094555,0,0,264,0,177,154,-29
2,142,1.5,35,73,-38,0,0.908493631323836,0,0,286,0,297,230,-23
2,143,1.5,77,46,31,1,0.987581981373296,0,0,131,0,369,232,-4
2,144,1.5,48,82,-34,1,0.839270420475259,0,0,243,0,231,241,32
2,145,1.5,54,1,53,0,0.648335300066719,0,0,198,39,143,172,49
2,146,1.5,40,68,-28,1,0.761529621875525,0,0,245,0,171,227,18
2,147,1.5,98,7,91,0,0.654635948333635,0,0,191,44,176,141,43
2,148,1.5,3,51,-48,0,0.608436728670313,0,0,234,0,51,202,-1
2,149,1.5,69,31,38,1,0.843550345309268,0,0,272,0,128,219,-19
2,150,1.5,20,67,-47,0,0.724664550596572,0,0,188,0,88,198,-17
2,151,1.5,91,13,78,0,0.823757881515121,0,0,112,0,115,184,37
2,152,1.5,47,74,-27,1,0.970202069368497,0,0,131,0,252,155,24
2,153,1.5,14,89,-75,0,0.661859717643893,0,0,65,0,79,190,-39
2,154,1.5,51,32,19,1,1.32569815636816,0,0,244,0,449,321,-18
2,155,1.5,47,65,-18,1,1.25125590048719,0,0,274,0,458,217,15
2,156,1.5,13,97,-84,0,0.659563084259389,0,0,286,0,11,160,-47
2,157,1.5,27,64,-37,0,0.683984435583625,0,0,119,0,32,236,-14
2,158,1.5,41,99,-58,1,0.795137506742321,0,0,238,0,32,225,49
2,159,1.5,76,11,65,0,1.00624937253087,0,0,94,0,307,158,39
2,160,1.5,42,72,-30,1,0.792611149643562,0,0,179,53,135,169,22
3,1,10,28,85,-57,0,5.56021104999309,0,0,0,109,2585,1773,-35
3,2,10,100,15,85,1,2.72860305947324,0,0,0,122,1637,735,-35
3,3,10,98,38,60,1,2.45113183153626,0,0,0,124,1149,846,-12
3,4,10,53,23,30,0,3.86370626156713,0,0,0,259,2301,1012,27
3,5,10,50,43,7,0,4.69325005925384,0,0,0,279,1647,2408,7
3,6,10,25,55,-30,0,3.2891630298891,0,0,0,272,1237,1344,-5
3,7,10,100,0,100,1,2.34952059590432,0,0,8,170,766,948,-50
3,8,10,50,43,7,0,1.95152109399169,0,0,0,271,901,622,7
3,9,10,53,23,30,0,4.55742629145243,0,0,0,261,2196,1553,27
3,10,10,30,100,-70,0,1.95812270749047,0,0,0,268,623,929,-50
3,11,10,3,100,-97,0,1.2609353890839,0,0,0,271,139,566,-50
3,12,10,48,80,-32,1,8.07443535512539,0,0,0,286,1951,4496,30
3,13,10,50,100,-50,1,5.10134412220759,0,0,0,276,2178,1722,50
3,14,10,100,0,100,1,2.36648030369361,0,0,0,275,717,1057,-50
3,15,10,0,68,-68,0,3.82240067016573,0,0,0,267,750,2280,-18
3,16,10,48,60,-12,1,9.6445682537651,0,0,0,270,3060,4420,10
3,17,10,100,15,85,1,1.40101372456957,0,0,0,286,649,217,-35
3,18,10,53,40,13,0,4.56576547353325,0,0,0,180,2391,1157,10
3,19,10,53,0,53,0,2.08643351371211,0,0,0,286,962,475,50
3,20,10,28,85,-57,0,6.60247930751939,0,0,0,274,1274,2302,-35
3,21,1.5,48,60,-12,0,1.28699378599958,0,0,0,121,563,305,-10
3,22,1.5,48,100,-52,NaN,NaN,0,0,0,131,501,576,0
3,23,1.5,25,55,-30,1,0.593190439762111,0,0,0,125,0,288,5
3,24,1.5,98,38,60,1,0.794440486928579,0,0,106,137,489,0,-12
3,25,1.5,48,80,-32,0,0.843576306167961,0,0,0,254,465,0,-30
3,26,1.5,0,68,-68,0,1.06668240622457,0,0,0,270,351,318,-18
3,27,1.5,85,15,70,1,1.00772612466972,0,0,0,273,477,167,-35
3,28,1.5,3,100,-97,0,1.0467906269223,0,0,0,275,433,211,-50
3,29,1.5,80,45,35,1,1.34852713895634,0,0,0,286,478,367,-5
3,30,1.5,48,100,-52,NaN,NaN,0,0,0,261,671,394,0
3,31,1.5,5,83,-78,0,1.01793660411386,0,0,0,268,344,273,-33
3,32,1.5,53,40,13,1,1.02438607471049,0,0,0,270,385,211,-10
3,33,1.5,80,45,35,1,1.10345208631588,0,0,0,266,414,262,-5
