subj,exp,tp,self,other,fair,resp,rt,given,gen
3,1,1.5,5,83,-78,0,0.773600515527505,-33,0
3,1,1.5,48,100,-52,1,0.738986010654116,50,0
3,1,1.5,5,83,-78,0,0.825592102272822,-33,0
3,1,1.5,100,15,85,0,1.24495651880625,35,0
3,1,1.5,30,100,-70,1,0.639688557063891,50,0
3,1,1.5,75,0,75,0,0.70644256245123,50,0
3,1,1.5,28,85,-57,1,1.13052202357994,35,0
3,1,1.5,48,100,-52,0,1.08985820043108,-50,0
3,1,10,11,66,-55,0,1.30105576237656,-16,0
3,1,10,44,54,-10,1,4.1559710946467,4,0
3,1,10,97,21,76,1,3.40210463344829,-29,0
3,1,10,60,43,17,1,2.41425018951122,-7,0
3,1,10,66,13,53,0,3.01831437247347,37,0
3,1,10,100,26,74,0,3.1336949557126,24,0
3,1,10,23,65,-42,1,2.82042692359028,15,0
3,1,10,17,75,-58,0,2.43183877575302,-25,0
3,1,10,60,46,14,1,1.64328523105723,-4,0
3,1,10,93,17,76,0,1.268867509556,33,0
3,1,10,75,27,48,1,1.42890410677774,-23,0
3,1,10,72,12,60,1,1.87914376285698,-38,0
3,1,10,97,7,90,0,1.40061347264509,43,0
3,1,10,48,54,-6,0,3.01149308157073,-4,0
3,1,10,48,60,-12,1,3.76751490794231,10,0
3,1,10,100,39,61,0,2.98107457416882,11,0
3,1,10,8,94,-86,0,2.29032548946543,-44,0
3,1,10,67,4,63,0,2.09112099516278,46,0
3,1,10,86,43,43,1,2.07590514340518,-7,0
3,1,10,98,17,81,0,2.31730311032425,33,0
3,1,1.5,64,35,29,0,1.02758097648348,15,0
3,1,1.5,25,55,-30,1,0.606835000197862,5,0
3,1,1.5,11,93,-82,0,0.842894406167034,-43,0
3,1,1.5,25,96,-71,0,1.39767110593675,-46,0
3,1,1.5,87,5,82,0,0.914322035016085,45,0
3,1,1.5,98,38,60,1,0.786437034745177,-12,0
3,1,1.5,57,40,17,1,1.03916826364093,-10,0
3,1,1.5,83,13,70,0,0.841802427791663,37,0
3,1,1.5,48,98,-50,1,0.788665711658723,48,0
3,1,1.5,93,9,84,0,0.633289908345432,41,0
3,1,1.5,93,13,80,0,0.659394752932712,37,0
3,1,1.5,70,30,40,1,0.661411192357264,-20,0
